df_full_n,skill_multip,DS_skill,Prog_skill,DB_skill,Universal_skill
id,1,0,0,0,0
Is_DataScientist,1,0,0,0,0
Is_Programmist,1,0,0,0,0
Ad_hoc_analysis,1,1,0,0,0
Adobe_analytics,1,1,1,0,0
AdWords,1,1,0,0,0
aero_spike,1,0,0,1,0
Agile,1,0,1,0,0
amazon_dynamo_db,1,0,0,1,0
Analitics_analysis,1,1,0,0,1
android,1,0,1,0,0
Apache_Drill,1,0,0,1,0
Azure,1,0,0,1,1
big_data,1,1,0,0,0
big_query,1,1,0,0,0
Building_models,1,1,0,0,0
business_intelligence,1,1,0,0,0
business_objects,1,1,0,0,0
Cassandra,1,0,0,1,0
citrix,1,1,0,0,0
Cloudant,1,0,0,1,0
C,1,0,1,0,0
cognos,1,1,0,0,0
Couchbase,1,0,0,1,0
C_pp,1,0,1,0,0
C_sharp,1,0,1,0,0
data_mining,1,1,0,0,0
data_quality,1,1,0,0,0
data_warehouse,1,1,0,1,0
DB2,1,0,0,1,0
dot_net,1,0,1,0,0
Econometric_modeling,1,1,0,0,0
Econometry,1,1,0,0,0
Economical_modeling,1,1,0,0,0
Economy,1,1,0,0,0
Ehcache,1,0,1,0,0
elastic_search,1,0,0,1,1
engineering,1,0,0,0,0
Essbase,1,0,0,1,0
Estimations,1,1,0,0,1
etl,1,1,0,0,0
fire_bird,1,0,0,1,0
Forecast,1,1,0,0,0
Foss,1,0,1,0,0
framework_manager,1,1,0,0,0
gem_fire,1,0,0,1,0
geodemographic,1,1,0,0,0
Git,1,0,1,0,0
google_analytics,1,1,1,0,0
Google_tag_manager,1,1,0,0,0
H2,1,0,0,1,0
Hadoop,1,1,0,0,0
hazel_Cast,1,0,0,1,0
HBase,1,0,0,1,0
Hive,1,0,0,1,0
html,1,0,1,0,0
http,1,0,1,0,0
imap,1,0,1,0,0
Impala,1,0,0,1,0
InfluxDB,1,0,0,1,0
Informix,1,0,0,1,0
Ingres,1,0,0,1,0
inter_base,1,0,0,1,0
iOS,1,0,1,0,0
java,1,0,1,0,0
java_script,1,0,1,0,0
Jira,1,0,0,0,1
machine_learning,1,1,0,0,0
MariaDB,1,0,0,1,0
mathematica,1,1,0,0,0
Math,1,1,0,0,1
matlab,1,0,0,0,1
max_db,1,0,0,1,0
mdx,1,0,0,1,0
Memcached,1,0,0,1,0
MongoDB,1,0,0,1,0
ms_access,1,0,0,1,0
ms_sql,1,0,0,1,0
my_sql,1,0,0,1,0
Neo4j,1,0,0,1,0
Netezza,1,0,0,1,0
NLP,1,1,0,0,0
NLTK,1,1,0,0,0
Numerical,1,1,1,0,1
objective_c,1,0,1,0,0
olap,1,1,0,0,0
operations_research,1,1,0,0,0
Oracle,1,0,0,1,1
percona_server,1,0,0,1,0
Pivot,1,1,0,0,0
PL_SQL,1,0,1,1,0
PostgreSQL,1,0,0,1,0
Predictions,1,1,0,0,0
Process_mining,1,1,0,0,0
python,1,0,1,0,1
Quantitative,1,1,0,0,0
red_hat,1,0,0,1,0
Redis,1,0,0,1,0
RedMine,1,0,0,0,1
red_shift,1,0,0,1,0
Rezerw_techniczno_ubezpieczeniowych,1,1,0,0,0
Riak_KV,1,0,0,1,0
R,1,1,0,0,0
Root_cause,1,1,0,0,1
SAP,1,1,0,0,0
SAS,1,1,0,0,0
Scoring,1,1,0,0,0
sentiment_analysis,1,1,0,0,0
sharePoint,1,0,0,0,1
Solr,1,0,0,1,0
Spark,1,1,0,0,0
Sphinx,1,0,0,1,0
Splunk,1,1,0,0,0
spotfire,1,1,0,0,0
SPSS,1,1,0,0,1
SQLite,1,0,0,1,0
SQL,1,1,1,1,0
Statistical_modeling,1,1,0,0,0
Statistic,1,1,0,0,0
Stochastic,1,1,0,0,0
Tableau,1,1,0,0,0
Teradata,1,0,0,1,0
uczenie_maszynowe,1,1,0,0,0
uima,1,1,0,0,0
Unica,1,1,0,0,0
UX,1,0,0,0,1
Variance,1,1,0,0,0
Vertica,1,1,0,0,0
Virtuoso,1,0,0,1,0
VMware,1,0,1,0,0
web_scrapping,1,1,1,0,0
Zoning_analysis,1,1,0,0,0
Analytical_tools,1,1,0,0,0
Computer_science,1,0,1,0,0
Credit_risk,1,1,0,0,0
Data_analysis,1,1,0,0,0
Data_manipulation,1,1,1,0,0
Data_visualization,1,1,1,0,1
Financial_analysis,1,1,0,0,0
GemiusPrism,1,1,0,0,0
KPI,1,1,0,0,0
Numerical_modeling,1,1,0,0,0
Presales,1,0,0,0,1
Quantitative_methods,1,1,0,0,0
Quantitative_modeling,1,1,0,0,0
Risk_activities,1,1,0,0,0
Time_series,1,1,0,0,0
VBA,1,0,1,0,0
Web_analytics,1,1,1,0,0
skills_per_offer,1,0,0,0,0
Accumulo,1,0,0,1,0
Adabas,1,0,0,1,0
Derby,1,0,0,1,0
DL4J,1,1,0,0,0
enterprise_db,1,0,0,1,0
file_maker,1,0,0,1,0
google_search_appliance,1,0,0,1,0
hyper_sql,1,0,0,1,0
jack_rabbit,1,0,0,1,0
Jena,1,0,0,1,0
level_db,1,0,0,1,0
mem_sql,1,0,0,1,0
mSQL,1,0,0,1,0
object_store,1,0,0,1,0
open_edge,1,0,0,1,0
opinion_mining,1,1,0,0,0
par_accel,1,0,0,1,0
RavenDB,1,0,0,1,0
Realm,1,0,0,1,0
rrd_tool,1,0,0,1,0
scikit_learn,1,1,0,0,0
theano,1,0,1,0,0
Titan,1,0,0,1,0
torch7,1,1,0,0,0
UniVerse,1,0,0,1,0
